object_1,object_2,similarity,connection
свадьба как мероприятие,свадьба как способ жить вместе,0.86803246,
городской бор - дорога,состояние нагорной улицы,0.8680308,
работа по вывозу мусора,вывоз мусора на первомайской,0.8680301,
поведение автора комментария - отсутствие в обсуждении,поведение автора/участников дискуссии,0.86801535,
отключение электричества в общагах юфу,отключение электричества в районе,0.8679859,
поведение хаски в контактном зоопарке,контактный зоопарк,0.8679813,
беспилотная опасность,уничтожение беспилотников пво,0.8679566,
факт повреждения машины,автомобильный инцидент,0.86793894,
дтп на тюбинге,действия гибдд,0.8679347,
стоимость входа на каток,цена вопроса,0.8679306,
обращение в прокуратуру,возбуждение уголовного дела,0.8679301,
жертва дтп,смертельное дтп,0.8679266,
восхождение в горы,гололед в горах,0.86792254,
