object_1,object_2,similarity,connection
запрос информации о работе в GSB,работа в GSB,0.91670424,not_duplicate
государственное управление ЖКХ,государственное регулирование ЖКХ,0.91670203,not_duplicate
мероприятие Филиппа Киркорова,состояние трассы Ростов-Волгодонск,0.9166653,not_duplicate
причины повышения цен,частое повышение цен на товары,0.9166475,not_duplicate
фильм Хроники Нарнии,концерт SCORPIONS в Ростове,0.91663945,not_duplicate
выбор песен Деда Мороза,выступление Деда Мороза,0.91663027,not_duplicate
дрифт на ватрушке,пожарные гидранты,0.9165837,not_duplicate
опасность из-за атаки беспилотников,объявление о беспилотной и ракетной опасности,0.9165651,not_duplicate
закрытие ресторана Бен Холл,премьеры в кино,0.91656446,not_duplicate
концерт Киркорова,премьеры в кино,0.91655755,not_duplicate
страшное ДТП,авария на трассе,0.91655254,duplicate
ДТП на тюбинге,страшное ДТП,0.9165441,duplicate
"книга 'Сделано, чтобы прилипать'","книга ""Сделано, чтобы прилипать"", идеи",0.9165065,duplicate
смертельный исход ДТП,результат аварии,0.91649777,duplicate
фильм Волшебник Изумрудного города,продажа квартир в ЖПЭ,0.9164668,not_duplicate
выбор песен Деда Мороза,песня Деда Мороза,0.9164655,not_duplicate
ДТП на трассе,водители в ДТП,0.91644764,not_duplicate
мероприятие у церкви,место проведения богослужений,0.9164287,not_duplicate
ЖК Вест-Сайд,продажа квартир в ЖПЭ,0.91641444,not_duplicate
празднование Рождества,Рождественская служба,0.91635627,not_duplicate
фильм Хроники Нарнии,ЖК Вест-Сайд,0.9163468,not_duplicate
действия полиции/властей,действия полиции (проведение проверки),0.9162978,not_duplicate
Существование Деда Мороза,поведение Деда Мороза,0.9162915,not_duplicate
управление Нового Краснодара,участие водителя в конкурсе Голос Стерли,0.9162494,not_duplicate
поведение хаски в контактном зоопарке,поведение собаки в контактном зоопарке,0.9162481,duplicate
автоматическое удаление сообщений,удаление сообщений,0.91623354,not_duplicate
САХ,ад,0.91623247,not_duplicate
кинопремьера Аватар 3,характеристика глав субъектов РФ,0.91622454,not_duplicate
Джефф Миллз,фильм Волшебник Изумрудного города,0.9162212,not_duplicate
карьера Бритни Спирс,действия инспекторов ГИБДД,0.9162116,not_duplicate
продажа квартир в ЖПЭ,премьеры в кино,0.91613257,not_duplicate
эффективность уборки снега,уборка снега грейдером,0.9160684,not_duplicate
концерт Киркорова,электричество в ЖК Вест-Сайд,0.91606784,not_duplicate
расположение горки и тротуара,пешеходная тропинка,0.91603774,not_duplicate
концерт Филиппа Киркорова,фильм Рождество на двоих,0.91591495,not_duplicate
дроновое нападение,взрывы беспилотников,0.9159101,duplicate
действия инспекторов ГИБДД,работа УК 'Доверие' по вывозу мусора,0.91589093,not_duplicate
кинопремьера Аватар 3,строительство ЖК Вест-Сайд,0.9158821,not_duplicate
образ Филиппа Киркорова в шубе,внешность Филиппа Киркорова,0.9158697,not_duplicate
участие в концерте Киркорова,спектакли Московского театра,0.9158624,not_duplicate
состояние мусорных контейнеров,накопление мусора,0.91585857,not_duplicate
выступление Филиппа Киркорова,стиль Филиппа Киркорова,0.9158503,not_duplicate
Путин,полномочия Путина,0.9158428,similar_not_duplicate
накопление мусора,решение проблемы мусора,0.91583085,not_duplicate
Участие в концерте ЛЮБЭ,концерт группы «ИНДИИД»,0.91580564,not_duplicate
деятельность зацеперов по сбору мусора,уборка мусора в районе,0.9157826,not_duplicate
укладка асфальта,проблемы с асфальтом,0.91577035,not_duplicate
жертва ДТП,ситуация ДТП,0.9157703,not_duplicate
кинопремьера Аватар 3,спектакли Московского театра,0.91575813,not_duplicate
агрессивное поведение,агрессивное поведение в обществе,0.9157468,duplicate
сериал Полиция Дели,доставка квитанций ЖКХ,0.9156925,not_duplicate
строительство ЖК Вест-Сайд,состояние трассы Ростов-Волгодонск,0.9156814,not_duplicate
организация свадьбы,проведение свадебных торжеств,0.9156188,duplicate
карьера Бритни Спирс,"титул ""Поп-король"" Филиппа Бедросовича",0.9156168,not_duplicate
празднование Рождества Христова,крестный ход в Рождество,0.9156132,not_duplicate
ёлка в Миассе,ёлка в Уфе,0.9155963,not_duplicate
поведение украинских сил,Действия украинских военных,0.915573,duplicate
действия зацеперов,зацеперы и их методы,0.9155652,duplicate
беспилотники из Украины,перехват украинских беспилотников,0.91554844,similar_not_duplicate
частые аварии на М5 трассе,авария на трассе М4,0.9155464,not_duplicate
"титул ""Поп-король"" Филиппа Бедросовича",спектакли Московского театра,0.91552734,not_duplicate
распространение мусора,проблема вывоза мусора,0.91552615,not_duplicate
рекорд кассовых сборов фильма «Чебурашка 2»,концерт группы «ИНДИИД»,0.91550493,not_duplicate
участие в концерте Киркорова,управление Нового Краснодара,0.915465,not_duplicate
ЖК Вест-Сайд,жанр шансон,0.91542304,not_duplicate
альтернативное детское питание,детское питание,0.9154212,not_duplicate
концерт SCORPIONS в Ростове,автомобиль БЕЛДЖИ,0.91541606,not_duplicate
концерт поп-короля,кассовые сборы фильма «Чебурашка 2»,0.9154081,not_duplicate
отключение света в ЖК Вест-Сайд,перебои с электричеством в ЖК Вест-Сайд,0.91538846,duplicate
размер штрафа за нарушение тонировки,штрафы за неправильную тонировку,0.91536534,duplicate
закрытие ресторана Бен Холл,управление Нового Краснодара,0.915365,not_duplicate
поведение родителей,поведение родителя (несоблюдение присмотра),0.9153622,similar_not_duplicate
вывоз мусора,ситуация с уборкой мусора,0.9153514,not_duplicate
состояние дома после обвала крыши,состояние крыши дома,0.91534317,duplicate
рождаемость в семье,рождаемость детей,0.91533756,duplicate
концерт SCORPIONS в Ростове,премьеры в кино,0.91532755,not_duplicate
Участие в концерте ЛЮБЭ,сиквел Короля и Шута,0.9153087,not_duplicate
соблюдение ГОСТа на шаурму,введение ГОСТа на шаурму,0.9152924,not_duplicate
рекламная кампания,наличие рекламы,0.915241,not_duplicate
жёсткое ДТП с большегрузами,ДТП легковушки под грузовиком,0.91522056,not_duplicate
строительство шумозащитных конструкций,ненадежность шумозащитных конструкций,0.9151849,not_duplicate
ДТП на трассе,страшное ДТП,0.91511464,duplicate
концерт Филиппа Киркорова,продажа квартир в ЖПЭ,0.9150786,not_duplicate
кинопремьера Аватар 3,кассовые сборы фильма «Чебурашка 2»,0.91507816,not_duplicate
дерево на проезжей части,дерево на проводах,0.9150655,not_duplicate
факт повреждения машины,происшествие с машиной,0.9150582,duplicate
отключение электричества,аварийное отключение электроэнергии,0.915044,duplicate
Площадь Советов (Ростов-на-Дону),состояние дороги Ростов-Волгодонск,0.9150206,not_duplicate
стоимость входа на каток,цена проезда,0.9149988,not_duplicate
празднование Рождества Христова,Рождественский сочельник и его празднование,0.9149576,not_duplicate
описание Башкирии,географическое положение Башкирии,0.91484463,not_duplicate
застройка в Краснодаре,Краснодар - деревня,0.91482544,not_duplicate
жертва ДТП,ДТП с погибшими,0.9148036,not_duplicate
соблюдение ГОСТа на шаурму,внедрение ГОСТа на шаурму,0.9147987,not_duplicate
"титул ""Поп-король"" Филиппа Бедросовича",автомобиль БЕЛДЖИ,0.9147817,not_duplicate
фиксация беспилотных летательных аппаратов,источник беспилотников,0.9147795,not_duplicate
сиквел Короля и Шута,термин водительница в ПДД,0.91477674,not_duplicate
кинопремьера Аватар 3,пересъемка старых фильмов/сказок,0.9147669,not_duplicate
концерт Ленинграда,МУП 'СТЭ',0.91476107,not_duplicate
бегание зайцев во дворе,наличие кроликов во дворе,0.91475,not_duplicate
поведение зацеперов,деятельность зацеперов,0.9147419,similar_not_duplicate
обязательная процедура медиации при разводе,новая система медиации при разводе,0.91467214,not_duplicate
Рождество Христово (праздник),Празднование Рождества Христова под другим именем,0.9146403,duplicate
запуск беспилотников,перехват беспилотников,0.9146218,not_duplicate
колхозное водительское мнение,поведение водителей за рулем,0.914606,not_duplicate
частые перебои с электричеством,причина отключения электричества,0.9145729,not_duplicate
безопасность в ДТП,дорожная безопасность,0.9145724,not_duplicate
закрытие ресторана Бен Холл,фильм Рождество на двоих,0.9145396,not_duplicate
продажа квартир в ЖПЭ,падение обломков БПЛ,0.914514,not_duplicate
застройка в Краснодаре,место события в Краснодаре,0.91450834,not_duplicate
опасность из-за атаки беспилотников,беспилотная атака,0.91439414,similar_not_duplicate
наплыв туристов в Сочи,туристический поток в Сочи,0.9143827,duplicate
звук взрывов в городе,взрывы в городе,0.91438127,duplicate
качество отечественного кино,качество российских фильмов,0.9143743,duplicate
первая часть фильма Чебурашка,продажа квартир в ЖПЭ,0.9143715,not_duplicate
проблема с вывозом мусора,решение проблемы мусора,0.91436756,not_duplicate
качество шумозащитных конструкций,ненадежность шумозащитных конструкций,0.91435724,not_duplicate
ДТП на тюбинге,ДТП,0.9143406,duplicate
празднование Рождества Христова,Рождественская литургия,0.9142972,not_duplicate
метод сбора мусора,решение проблемы мусора,0.9142967,not_duplicate
строительство метро в Краснодаре,маршрут метро в Краснодаре,0.91424423,not_duplicate
сериал Полиция Дели,электричество в ЖК Вест-Сайд,0.9142399,not_duplicate
использование левого ряда для поворота,поворот налево из среднего ряда,0.9142279,not_duplicate
кинопремьера Аватар 3,премьеры в кино,0.91422427,not_duplicate
концерт поп-короля,термин водительница в ПДД,0.9142087,not_duplicate
Домашнее питание детей,прикорм для детей,0.91418016,not_duplicate
термин водительница в ПДД,строительство ЖК Вест-Сайд,0.9141675,not_duplicate
запрет горок,кража сочинца,0.9141642,not_duplicate
состояние трассы Ростов-Волгодонск,расписание маршруток Апшеронск-Кубанская,0.9141618,not_duplicate
кинопремьера Аватар 3,концерт поп-короля,0.9141532,not_duplicate
наплыв туристов в Сочи,наплыв туристов в Москву,0.91413903,not_duplicate
концерт SCORPIONS в Ростове,действия инспекторов ГИБДД,0.91406226,not_duplicate
первая часть фильма Чебурашка,успех фильма Чебурашка 2,0.9140092,not_duplicate
поведение водителей в ДТП,поведение водителей за рулем,0.91399896,not_duplicate
взрывчатка,взрывы,0.9139702,not_duplicate
реализация проекта метро в Краснодаре,маршрут метро в Краснодаре,0.9139687,not_duplicate
пересъемка старых фильмов/сказок,продажа квартир в ЖПЭ,0.9139613,not_duplicate
дорожная обстановка,загораживание проездов,0.91395557,not_duplicate
Жёсткое ДТП,результат аварии,0.91394186,duplicate
дроновое нападение,сбитый беспилотник,0.91391444,not_duplicate
"сериал «Клуб», Вася",продажа квартир в ЖПЭ,0.91391075,not_duplicate
ДТП на трассе,ситуация ДТП,0.9139084,duplicate
туристический сервис в Сочи,туристический поток в Сочи,0.9138951,not_duplicate
поведение водителей,поведение владельцев автомобилей,0.91386396,similar_not_duplicate
работа по вывозу мусора,проблема вывоза мусора,0.9138412,not_duplicate
авария ребенка,ДТП с жертвами детей,0.91383564,duplicate
место аварии,результат аварии,0.9138342,not_duplicate
реакция полиции,поведение полиции,0.9138315,not_duplicate
проблема с чисткой проездов в карманах,чистка дорог в карманах,0.91382414,duplicate
выпечка пирога на праздник,желание испечь пирог,0.91381556,not_duplicate
отдых за границей,путешествие за границу,0.9138035,duplicate
проблема с вывозом мусора,нерешенная проблема с мусором,0.9137902,duplicate
Проблемы ЖК Вест-Сайд,автомобиль БЕЛДЖИ,0.9137751,not_duplicate
Рождественская служба,Рождество Христово,0.9137638,not_duplicate
Рождественская служба,крестный ход в Рождество,0.9137178,not_duplicate
падение БПЛА,место падения БПЛА,0.91365546,not_duplicate
карьера Бритни Спирс,фильм Волшебник Изумрудного города,0.9136096,not_duplicate
состояние дорог в Челябинской области,состояние дороги под Новороссийском,0.9136095,not_duplicate
пробка,загораживание проездов,0.91360915,duplicate
продажа квартир в ЖПЭ,характеристика глав субъектов РФ,0.91357565,not_duplicate
кинопремьера Одесия,продажа квартир в ЖПЭ,0.9135751,not_duplicate
поведение водителей,колхозное водительское мнение,0.91357434,not_duplicate
концерт поп-короля,продажа квартир в ЖПЭ,0.91354424,not_duplicate
Действия по защите побережья от мазута,эффективность защиты побережья,0.91352344,not_duplicate
вывоз мусора,вывоз мусора в городе,0.91346407,duplicate
стоимость билетов,информация о ценах на билеты,0.91344196,not_duplicate
работа по обеспечению безопасности,обеспечение безопасности,0.91334224,duplicate
ЖК Вест-Сайд,состояние трассы Ростов-Волгодонск,0.9133235,not_duplicate
Участие в концерте ЛЮБЭ,строительство ЖК Вест-Сайд,0.9133218,not_duplicate
кинопремьера Одесия,сиквел Короля и Шута,0.91331947,not_duplicate
ДТП,происшествие с машиной,0.91329616,duplicate
Поведение Филиппа Киркорова на концерте,посещение концерта Филиппа Киркорова,0.913283,not_duplicate
Участие в концерте ЛЮБЭ,автомобиль БЕЛДЖИ,0.91326594,not_duplicate
место съемки,место действия,0.9132657,not_duplicate
ситуация с уборкой мусора,проблема вывоза мусора,0.9132574,not_duplicate
мероприятие Деда Мороза,первая часть фильма Чебурашка,0.9132153,not_duplicate
Площадь Советов (Ростов-на-Дону),спектакли Московского театра,0.913197,not_duplicate
надпись МОРЕ,перевод говнотечки,0.91317904,not_duplicate
контроль вывоза мусора,система управления мусором,0.9131764,duplicate
концерт Ленинграда,расписание маршруток Апшеронск-Кубанская,0.9131339,not_duplicate
причина ДТП,ДТП и его последствия,0.913125,not_duplicate
Жёсткое ДТП,происшествие с машиной,0.9130862,duplicate
концерт поп-короля,электричество в ЖК Вест-Сайд,0.913086,not_duplicate
застройка Краснодара и Нижнего,застройка Новознаменского,0.91306955,not_duplicate
Проблемы ЖК Вест-Сайд,применение УК РФ,0.9129937,not_duplicate
электричество в ЖК Вест-Сайд,концерт группы «ИНДИИД»,0.9129754,not_duplicate
дорога Ростов-Семикаракорск-Волгодонск,расписание маршруток Апшеронск-Кубанская,0.9129648,not_duplicate
частота ДТП с участием джипов и автопоездов,частота ДТП,0.91294515,not_duplicate
Место ДТП,место инцидента,0.9129325,duplicate
сбитые БПЛА,падение обломков БПЛ,0.91279954,not_duplicate
введение штрафов за тонировку,штрафы за неправильную тонировку,0.9127696,duplicate
сбитие беспилотников,работа ПВО по сбитым беспилотникам,0.9127585,not_duplicate
песня/стихотворение о бродяге,перевод говнотечки,0.9127486,not_duplicate
качество дорог,качество ремонта дороги,0.9127444,not_duplicate
закрытие ресторана Бен Холл,продажа квартир в ЖПЭ,0.91273034,not_duplicate
электроснабжение,электроснабжение на Промышленной,0.9127193,not_duplicate
обсуждение красивых дат для свадьбы,выбор даты свадьбы,0.9126851,not_duplicate
Продление работы транспорта,реализация распорядка работы транспорта,0.9126733,duplicate
Силы Беспилотных систем Украины,беспилотники из Украины,0.9126705,not_duplicate
Участие в концерте ЛЮБЭ,пересъемка старых фильмов/сказок,0.9126659,not_duplicate
работа в GSB на Хвойной,работа в GSB через Ситик,0.91264904,not_duplicate
физическое насилие мужчин над женщинами,насилие против мужчин,0.9126127,not_duplicate
концерт Филиппа Киркорова,кинопремьера Аватар 3,0.9125991,not_duplicate
действия инспекторов ГИБДД,профилактическая акция ГИБДД,0.9125561,not_duplicate
водитель получает штраф за тонировку,Применение штрафов к водителям,0.912555,duplicate
вывоз мусора,вывоз мусора в Гэсе,0.9125364,not_duplicate
Москва - лицо страны,Москва,0.91253376,similar_not_duplicate
участие в концерте Киркорова,концерт Ленинграда,0.9125235,not_duplicate
примета дарения цветов артистам,подаренные цветы артистам,0.91251296,not_duplicate
эффективность уничтожения дронов,уничтожение беспилотников ПВО,0.9125073,not_duplicate
восстановление железнодорожной инфраструктуры,железнодорожная инфраструктура,0.91244453,similar_not_duplicate
пение в комментариях,призыв петь в комментариях,0.91244274,not_duplicate
автомобиль БЕЛДЖИ,спектакли Московского театра,0.91243434,not_duplicate
ледовый городок,ледовый дворец,0.9124158,not_duplicate
выдача штрафа,штраф за нарушение тонировки,0.91241294,duplicate
электричество в ЖК Вест-Сайд,состояние дороги на ул. Заводской,0.91232044,not_duplicate
состояние дороги Ростов-Волгодонск,состояние дороги на ул. Заводской,0.9123126,not_duplicate
карьера Бритни Спирс,МУП 'СТЭ',0.91231185,not_duplicate
пенсионерка-пострадавшая,инцидент с пенсионеркой,0.91227347,duplicate
электричество в ЖК Вест-Сайд,работа УК 'Доверие' по вывозу мусора,0.91222245,not_duplicate
"сериал «Клуб», Вася",премьеры в кино,0.9121779,not_duplicate
продажа квартир в ЖПЭ,состояние дороги на ул. Заводской,0.9121735,not_duplicate
американский беспилотник,сбитый беспилотник,0.9121672,not_duplicate
кинопремьера Одесия,применение УК РФ,0.9121296,not_duplicate
концерт поп-короля,применение УК РФ,0.91212654,not_duplicate
посыпание дорог зимой,состояние дорог после снегопада,0.9120979,not_duplicate
жертва ДТП,смертельный исход ДТП,0.9120834,not_duplicate
фильм Рождество на двоих,концерт Ленинграда,0.91204774,not_duplicate
сиквел Короля и Шута,управление Нового Краснодара,0.912011,not_duplicate
фильм Рождество на двоих,строительство ЖК Вест-Сайд,0.91198695,not_duplicate
ЖК Вест-Сайд,доставка квитанций ЖКХ,0.9119457,not_duplicate
продажа квартир в ЖПЭ,спектакли Московского театра,0.9119399,not_duplicate
содержание сообщений,информация в сообщении,0.9119206,duplicate
отключение электроэнергии,отсутствие электричества,0.911911,duplicate
сброс нечистот в реку,сброс нечистот в реку Белекес,0.91185176,similar_not_duplicate
Рождественский сочельник и его празднование,крестный ход в Рождество,0.9118478,not_duplicate
опасность из-за атаки беспилотников,объявление беспилотной и ракетной опасности,0.9118384,not_duplicate
обязательная медиация перед разводом,новая система медиации при разводе,0.9118308,not_duplicate
поведение пешеходов в ДТП,поведение водителей в ДТП,0.9118245,not_duplicate
Беспилотники уничтоженные,способ уничтожения беспилотников,0.91182244,not_duplicate
проблема с вывозом мусора,накопление мусора,0.9118214,not_duplicate
дорога Ростов-Семикаракорск-Волгодонск,состояние дороги на ул. Заводской,0.9118203,not_duplicate
взрывы беспилотников,перехват беспилотников,0.9118068,not_duplicate
организация свадьбы,организация свадьбы дома,0.9117522,not_duplicate
меры чиновников,поведение чиновников,0.9117407,not_duplicate
перебои с электричеством в ЖК Вест-Сайд,масштаб аварии в ЖК Вест Сайд,0.911695,not_duplicate
предложение работы/подработки,предложение разовой работы,0.91168815,duplicate
страшное ДТП,результат аварии,0.9116826,duplicate
предпосылки преступлений,Преступность,0.9116818,not_duplicate
выступление Деда Мороза с песней,голос Деда Мороза,0.9116702,not_duplicate
Филипп Киркоров,стиль Филиппа Киркорова,0.9116635,similar_not_duplicate
празднование Рождества,Рождество Христово,0.9116567,duplicate
концерт Киркорова,продажа квартир в ЖПЭ,0.9116118,not_duplicate
зацеперы и их методы,характеристика зацеперов,0.9115887,not_duplicate
термин водительница в ПДД,электроснабжение ЖК Вест-Сайд,0.9115825,not_duplicate
рост цен на продукты,повышение цен на товары,0.9115605,not_duplicate
Участие в концерте ЛЮБЭ,электроснабжение ЖК Вест-Сайд,0.91154504,not_duplicate
концерт Филиппа Киркорова,рекорд кассовых сборов фильма «Чебурашка 2»,0.91152805,not_duplicate
Дед Мороз,мероприятие Деда Мороза,0.9115062,similar_not_duplicate
закрытие ресторана Бен Холл,доставка квитанций ЖКХ,0.9114988,not_duplicate
чистка карманов дорог,чистка проездов в карманах,0.9114771,duplicate
жанр шансон,сбитые БПЛА,0.91147476,not_duplicate
Рождество Христово,Рождественский сочельник и его празднование,0.9114497,not_duplicate
ситуация с уборкой мусора,Метод утилизации мусора,0.9114493,not_duplicate
работа по обеспечению безопасности,обеспечение безопасности сотрудниками,0.91144824,not_duplicate
"титул ""Поп-король"" Филиппа Бедросовича",концерт SCORPIONS в Ростове,0.9114097,not_duplicate
кинопремьера Одесия,электричество в ЖК Вест-Сайд,0.91140246,not_duplicate
деятельность зацеперов по сбору мусора,организация вывоза мусора,0.9113705,not_duplicate
закрытие парков раньше времени,закрытие парка в неурочное время,0.911368,duplicate
Участие в концерте ЛЮБЭ,концерт SCORPIONS в Ростове,0.9113523,not_duplicate
голос Деда Мороза,пение Деда Мороза,0.9113333,duplicate
непонятные звуки,звуковые явления,0.9113332,duplicate
бумажный город,бумажная модель города,0.91131914,duplicate
состояние дорог,состояние дорог в Уфе,0.91129607,not_duplicate
стоимость продуктовой корзины,цены на продукты,0.91127455,duplicate
сериал Полиция Дели,жанр шансон,0.911268,not_duplicate
дорогая организация свадьбы,затраты на свадьбу,0.91124225,duplicate
Джефф Миллз,спектакли Московского театра,0.9112326,not_duplicate
действия при обнаружении дрона,фиксация беспилотных летательных аппаратов,0.9112309,not_duplicate
эффективность уборки снега,Неэффективная уборка снега,0.9112285,not_duplicate
Джефф Миллз,управление Нового Краснодара,0.9112072,not_duplicate
закрытие ресторана Бен Холл,фильм Хроники Нарнии,0.91120195,not_duplicate
кинопремьера Аватар 3,электроснабжение ЖК Вест-Сайд,0.91116476,not_duplicate
состояние трассы Ростов-Волгодонск,концерт группы «ИНДИИД»,0.91116154,not_duplicate
магазины-пятёрочка,перевод говнотечки,0.91114366,not_duplicate
вывоз мусора на Первомайской,вывоз мусора на ГРЭС,0.9111399,not_duplicate
способ уборки мусора,уборка мусора в районе,0.911064,not_duplicate
мера по увеличению работы транспорта,Продление работы транспорта,0.9110134,duplicate
действия чиновников,поведение властей,0.91100335,not_duplicate
эпатажный образ Филиппа Киркорова,стиль Филиппа Киркорова,0.91096437,not_duplicate
проблема с вывозом мусора,распространение мусора,0.91096,not_duplicate
ремонт газовых котлов,работа газового котла,0.91093713,similar_not_duplicate
рождественские традиции/колядование,Рождество Христово (праздник),0.91090095,not_duplicate
работа УК 'Доверие' по вывозу мусора,первая часть фильма Чебурашка,0.9108758,not_duplicate
мероприятие Деда Мороза,фильм Волшебник Изумрудного города,0.9108694,not_duplicate
мероприятие Филиппа Киркорова,автомобиль БЕЛДЖИ,0.9108262,not_duplicate
Недвижимость в Краснодаре,рынок недвижимости в Краснодаре,0.9108174,duplicate
зацеперы,сирены,0.91081387,not_duplicate
сериал Полиция Дели,фильм Рождество на двоих,0.9108116,not_duplicate
кинопремьера Аватар 3,действия инспекторов ГИБДД,0.91077936,not_duplicate
борьба с зацеперами,методы борьбы с зацеперами,0.91073525,duplicate
кинопремьера Одесия,Участие в концерте ЛЮБЭ,0.91069674,not_duplicate
спасённая собака,спасение собак,0.9106773,not_duplicate
Джефф Миллз,электричество в ЖК Вест-Сайд,0.91065335,not_duplicate
фестиваль Мандарин,открытие фестиваля Мандарин,0.91059005,similar_not_duplicate
концерт Ленинграда,Проблемы ЖК Вест-Сайд,0.9105647,not_duplicate
состояние дорог,состояние тротуаров,0.910552,not_duplicate
меры безопасности,информация о мерах безопасности,0.9105278,not_duplicate
кассовые сборы фильма «Чебурашка 2»,премьеры в кино,0.9105269,not_duplicate
ДТП на тюбинге,ситуация ДТП,0.9104754,duplicate
цена пирожков,стоимость продуктовой корзины,0.9104512,not_duplicate
термин водительница в ПДД,ЖК Вест-Сайд,0.9104218,not_duplicate
Рождественская служба,Рождественская литургия,0.9103944,duplicate
кинопремьера Аватар 3,ЖК Вест-Сайд,0.9103865,not_duplicate
мероприятие Деда Мороза,пересъемка старых фильмов/сказок,0.91037077,not_duplicate
Джефф Миллз,жанр шансон,0.9103268,not_duplicate
фильм Хроники Нарнии,действия инспекторов ГИБДД,0.91031265,not_duplicate
ремонт Futuro,прошлое состояние Futuro,0.91030455,not_duplicate
частота уборки мусора,ситуация с уборкой мусора,0.910303,not_duplicate
Площадь Советов (Ростов-на-Дону),состояние дороги на ул. Заводской,0.9102566,not_duplicate
электроснабжение ЖК Вест-Сайд,МУП 'СТЭ',0.9102525,not_duplicate
вывоз мусора,контроль вывоза мусора,0.91021824,similar_not_duplicate
информация о беспилотниках,фиксация беспилотных летательных аппаратов,0.91018045,not_duplicate
электричество в ЖК Вест-Сайд,применение УК РФ,0.9101657,not_duplicate
деятельность зацеперов по сбору мусора,работа компании по вывозу мусора,0.9101628,not_duplicate
мероприятие Филиппа Киркорова,стиль Филиппа Киркорова,0.91016006,not_duplicate
электроснабжение ЖК Вест-Сайд,рекорд кассовых сборов фильма «Чебурашка 2»,0.9101386,not_duplicate
ДТП на трассе Ростов – Семикаракорск – Волгодонск,ДТП в Новороссийске,0.9101114,not_duplicate
Существование Деда Мороза,образ Деда Мороза и репертуар,0.9101014,not_duplicate
беспилотная атака,способ уничтожения беспилотников,0.9100465,not_duplicate
снег через сетку,снежная обстановка,0.9100397,not_duplicate
фильм Хроники Нарнии,кассовые сборы фильма «Чебурашка 2»,0.9100317,not_duplicate
Филипп Киркоров,внешность Филиппа Киркорова,0.91001725,similar_not_duplicate
смертельное ДТП,результат аварии,0.9099783,duplicate
военные действия,военная ситуация,0.90997136,duplicate
чистка карманов на дорогах,проблема с чисткой проездов в карманах,0.90996766,duplicate
ДТП на тюбинге,Жёсткое ДТП,0.909965,duplicate
фильм Хроники Нарнии,Джефф Миллз,0.9099402,not_duplicate
концерт Ленинграда,жанр шансон,0.9099391,not_duplicate
место события в Краснодаре,Краснодар - деревня,0.9099357,not_duplicate
отечественное кино,перевод говнотечки,0.9099355,not_duplicate
поведение украинских сил,действия Украины,0.90992856,duplicate
дорожная обстановка,состояние дорог и тротуаров,0.9099277,not_duplicate
Участие в концерте ЛЮБЭ,"сериал «Клуб», Вася",0.9098853,not_duplicate
ситуация с уборкой мусора,ухудшение качества уборки мусора,0.90988046,not_duplicate
канун Рождества Христова,Рождественские богослужения,0.90984404,not_duplicate
ремонт школы,ремонт школы в рамках национального проекта,0.90983224,not_duplicate
действия инспекторов ГИБДД,рекорд кассовых сборов фильма «Чебурашка 2»,0.90982556,not_duplicate
МУП 'СТЭ',участие водителя в конкурсе Голос Стерли,0.9098165,not_duplicate
карьера Бритни Спирс,падение обломков БПЛ,0.90980804,not_duplicate
автомобиль БЕЛДЖИ,доставка квитанций ЖКХ,0.90979725,not_duplicate
термин водительница в ПДД,Джефф Миллз,0.90977657,not_duplicate
поведение участников тусовки,поведение гостей на мероприятии,0.90975773,duplicate
ситуация ДТП,смертельное ДТП на дороге,0.9097256,duplicate
рекорд кассовых сборов фильма «Чебурашка 2»,характеристика глав субъектов РФ,0.90971726,not_duplicate
участие в ДТП,смертельное ДТП,0.9096837,not_duplicate
перехват беспилотников,Действия в РБ связанные с беспилотниками,0.90967643,not_duplicate
помощь животным в Судже,спасение домашних животных в Судже,0.90966916,not_duplicate
электроснабжение ЖК Вест-Сайд,премьеры в кино,0.9096619,not_duplicate
информация о ценах на билеты,ценник на билеты,0.90964204,duplicate
кинопремьера Одесия,рекорд кассовых сборов фильма «Чебурашка 2»,0.9095852,not_duplicate
рекорд кассовых сборов фильма «Чебурашка 2»,фильм Волшебник Изумрудного города,0.9095132,not_duplicate
рекорд кассовых сборов фильма «Чебурашка 2»,падение обломков БПЛ,0.9094841,not_duplicate
зацеперы,миньетчицы,0.90946615,not_duplicate
участие в концерте Киркорова,музыкальный микс Казакостояния,0.90944517,not_duplicate
необходимость асфальта,проблемы с асфальтом,0.9094362,not_duplicate
счет за квартиру,высокий счет за квартиру,0.90943563,duplicate
Проблемы ЖК Вест-Сайд,состояние дороги на ул. Заводской,0.90935785,not_duplicate
состояние ледового городка,проблема с ледяными глыбами,0.9093504,not_duplicate
дорожная безопасность,меры безопасности в ДТП,0.90933603,not_duplicate
электричество в ЖК Вест-Сайд,спектакли Московского театра,0.9093276,not_duplicate
семейное насилие,насилие в отношениях,0.90922254,not_duplicate
обсуждение красивых дат для свадьбы,выбор дат для свадеб,0.90919155,not_duplicate
обеспечение безопасности,меры личной безопасности,0.9091688,not_duplicate
отключение электричества в ЖК Вест-Сайд,фильм Волшебник Изумрудного города,0.9091088,not_duplicate
жанр шансон,магазины-пятёрочка,0.9091029,not_duplicate
жанр шансон,первая часть фильма Чебурашка,0.90910125,not_duplicate
поведение родителей ребенка,поведение родителя (несоблюдение присмотра),0.9090918,similar_not_duplicate
проблемы с мобильным интернетом,мобильный интернет,0.9090284,similar_not_duplicate
Дед Мороз как переодетые взрослые,Дед Мороз как переодетый родитель,0.90901166,duplicate
